ID,Site,Species,Lattitude,Longitude,Area,Weight_Saturated,Weight_Dry,LDMC,SLA,Min_Temp,Mean_Temp,Max_Temp
MI1,I,Mugwort,41.827949,-72.447414,872,0.116,0.03,25.9,29.067,14.9,20.1,25.2
MI2,I,Mugwort,41.827949,-72.447414,1281,0.206,0.03,14.6,42.7,14.9,20.1,25.2
MI3,I,Mugwort,41.827949,-72.447414,585,0.101,0.026,25.7,22.5,14.9,20.1,25.2
MI4,I,Mugwort,41.827949,-72.447414,1189,0.214,0.054,25.2,22.019,14.9,20.1,25.2
MI5,I,Mugwort,41.827949,-72.447414,692,0.151,0.046,30.5,15.043,14.9,20.1,25.2
MI6,I,Mugwort,41.827949,-72.447414,863,0.128,0.037,28.9,23.324,14.9,20.1,25.2
MJ1,J,Mugwort,41.86678,-72.368445,571,0.065,0.024,36.9,23.792,14.7,19.5,24.3
MJ2,J,Mugwort,41.86678,-72.368445,471,0.087,0.024,27.6,19.625,14.7,19.5,24.3
MJ3,J,Mugwort,41.86678,-72.368445,630,0.101,0.026,25.7,24.231,14.7,19.5,24.3
MJ4,J,Mugwort,41.86678,-72.368445,612,0.109,0.028,25.7,21.857,14.7,19.5,24.3
MK1,K,Mugwort,41.599164,-73.205809,410,0.064,0.012,18.8,34.167,14.3,19.8,25.2
MK2,K,Mugwort,41.599164,-73.205809,452,0.062,0.014,22.6,32.286,14.3,19.8,25.2
MK3,K,Mugwort,41.599164,-73.205809,501,0.083,0.021,25.3,23.857,14.3,19.8,25.2
MK4,K,Mugwort,41.599164,-73.205809,322,0.052,0.014,26.9,23,14.3,19.8,25.2
MK5,K,Mugwort,41.599164,-73.205809,535,0.083,0.019,22.9,28.158,14.3,19.8,25.2
