ID,Site,Species,Lattitude,Longitude,Area,Weight_Saturated,Weight_Dry,LDMC,SLA,Min_Temp,Mean_Temp,Max_Temp
GH5,H,Goldenrod,41.70068,-72.548251,401,0.065,0.02,30.8,20.05,15.2,20.3,25.4
GH6,H,Goldenrod,41.70068,-72.548251,469,0.078,0.021,26.9,22.333,15.2,20.3,25.4
GH7,H,Goldenrod,41.70068,-72.548251,540,0.101,0.031,30.7,17.419,15.2,20.3,25.4
GH8,H,Goldenrod,41.70068,-72.548251,374,0.053,0.014,26.4,26.714,15.2,20.3,25.4
GI1,I,Goldenrod,41.827949,-72.447414,295,0.049,0.014,28.6,21.071,14.9,20.1,25.2
GI2,I,Goldenrod,41.827949,-72.447414,263,0.031,0.009,29,29.222,14.9,20.1,25.2
GI3,I,Goldenrod,41.827949,-72.447414,610,0.086,0.022,25.6,27.727,14.9,20.1,25.2
GI4,I,Goldenrod,41.827949,-72.447414,492,0.07,0.015,21.4,32.8,14.9,20.1,25.2
GI5,I,Goldenrod,41.827949,-72.447414,343,0.051,0.012,23.5,28.583,14.9,20.1,25.2
GI6,I,Goldenrod,41.827949,-72.447414,602,0.087,0.019,21.8,31.684,14.9,20.1,25.2
GI7,I,Goldenrod,41.827949,-72.447414,402,0.06,0.014,23.3,28.714,14.9,20.1,25.2
GJ1,J,Goldenrod,41.86678,-72.368445,326,0.046,0.015,32.6,21.733,14.7,19.5,24.3
GJ2,J,Goldenrod,41.86678,-72.368445,369,0.051,0.018,35.3,20.5,14.7,19.5,24.3
GJ3,J,Goldenrod,41.86678,-72.368445,447,0.063,0.021,33.3,21.286,14.7,19.5,24.3
GJ4,J,Goldenrod,41.86678,-72.368445,487,0.07,0.024,34.3,20.292,14.7,19.5,24.3
GJ5,J,Goldenrod,41.86678,-72.368445,323,0.047,0.015,31.9,21.533,14.7,19.5,24.3
GJ6,J,Goldenrod,41.86678,-72.368445,342,0.055,0.02,36.4,17.1,14.7,19.5,24.3
GJ7,J,Goldenrod,41.86678,-72.368445,385,0.055,0.021,38.2,18.333,14.7,19.5,24.3
GK1,K,Goldenrod,41.599164,-73.205809,334,0.054,0.015,27.8,22.267,14.3,19.8,25.2
GK2,K,Goldenrod,41.599164,-73.205809,316,0.05,0.017,34,18.588,14.3,19.8,25.2
GK3,K,Goldenrod,41.599164,-73.205809,348,0.053,0.017,32.1,20.471,14.3,19.8,25.2
GK4,K,Goldenrod,41.599164,-73.205809,469,0.079,0.026,32.9,18.038,14.3,19.8,25.2
GK5,K,Goldenrod,41.599164,-73.205809,366,0.062,0.017,27.4,21.529,14.3,19.8,25.2
GK6,K,Goldenrod,41.599164,-73.205809,288,0.052,0.013,25,22.154,14.3,19.8,25.2
